TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Delaware St.,MEAC,31,13,94.0,108.5,0.161,45.7,48.8,22.2,20.9,32.6,37.5,33.3,32.2,46.5,48.4,29.6,33.2,61.0,-12.8,,,2013,,,,,,,,-14.5,150.0,,0.0
Denver,WAC,32,22,109.0,94.8,0.8338,56.2,47.3,18.6,26.2,22.7,34.1,31.2,41.0,56.1,46.5,37.5,33.1,59.1,-2.7,,,2013,14.3,110.0,95.7,57.5,-0.044,-0.09,3.7,14.3176,47.0,,0.0
Detroit,Horz,31,18,111.0,102.5,0.7143,50.8,53.2,15.5,22.9,31.8,31.2,35.8,35.6,51.1,52.2,33.5,36.7,70.4,-3.8,,,2013,9.65,113.7,104.1,69.0,-0.044,2.65,7.63,9.6676,77.0,,0.0
Drake,MVC,31,14,105.5,100.9,0.6244,52.2,51.4,19.8,18.8,24.5,28.7,37.5,38.5,48.9,50.2,37.9,35.6,68.9,-7.1,,,2013,4.55,107.2,102.6,67.4,0.002,5.89,1.78,4.5492,118.0,,0.0
Drexel,CAA,31,13,100.1,100.1,0.5003,46.7,48.7,18.9,18.8,33.3,26.0,33.5,43.4,44.9,47.5,33.5,34.2,61.9,-11.9,,,2013,,,,,,,,0.0,150.0,,0.0
Duke,ACC,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29.0,67.8,7.5,E8,2.0,2013,26.98,119.1,92.1,66.7,0.033,9.95,6.85,26.9668,6.0,0.0,0.0
Duquesne,A10,30,8,98.9,104.6,0.3459,47.9,51.5,20.8,17.3,30.9,33.2,31.7,32.8,45.9,48.7,33.8,37.9,69.3,-12.5,,,2013,,,,,,,,-5.699999999999989,150.0,,0.0
East Carolina,CUSA,30,19,107.3,102.8,0.6192,51.4,48.9,18.2,18.8,28.3,35.2,39.9,33.5,50.9,48.3,34.9,33.7,68.7,-5.2,,,2013,4.02,108.9,104.9,67.5,0.045,0.12,-3.26,4.002,125.0,,0.0
East Tennessee St.,ASun,31,9,92.6,109.4,0.1276,45.7,54.1,20.0,21.1,27.1,35.5,31.6,33.5,44.2,52.8,32.3,37.2,65.2,-15.5,,,2013,,,,,,,,-16.80000000000001,150.0,,0.0
Eastern Illinois,OVC,31,11,97.3,108.5,0.2229,50.1,54.1,21.3,21.3,30.2,29.8,34.2,37.6,48.7,51.2,35.0,38.9,60.2,-15.3,,,2013,,,,,,,,-11.200000000000005,150.0,,0.0
