TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS,COACH,COACH_PREMIUM,EFF_RATIO,SHOOT_EDGE,TURNOVER_EDGE,REBOUND_SHARE,OFF_VERSATILITY,WIN_RATE,SEED_X_DIVERGENCE,COACH_X_DIVERGENCE,TQS_X_SOS,CONF_TOURNEY_WINS,CONF_TOURNEY_CHAMP
Coastal Carolina,BSth,26,11,96.0,101.8,0.3356,47.0,49.6,21.7,22.0,37.0,30.6,35.8,39.1,46.8,47.7,31.6,34.8,65.1,-11.6,,,2013,,,,,,,,-5.799999999999997,150.0,,0.0,Cliff Ellis,0.0,0.9430255402750491,-2.6000000000000014,0.3000000000000007,0.5473372781065089,1131.28,0.4230769230769231,,,,0.0,0
Colgate,Pat,32,11,95.8,104.5,0.2684,48.0,49.1,19.8,15.2,26.2,27.0,27.6,33.0,46.1,46.9,34.2,35.5,67.2,-14.0,,,2013,,,,,,,,-8.700000000000003,150.0,,0.0,Matt Langel,0.0,0.9167464114832535,-1.1000000000000014,-4.600000000000001,0.49248120300751874,943.9200000000001,0.34375,,,,0.0,0
College of Charleston,SC,34,24,101.4,98.7,0.5768,50.2,45.0,20.6,15.5,33.3,27.2,38.5,26.9,49.4,45.0,34.5,30.0,64.4,-3.8,,,2013,,,,,,,,2.700000000000003,150.0,,0.0,,0.0,1.027355623100304,5.200000000000003,-5.100000000000001,0.5504132231404958,1328.25,0.7058823529411765,,,,0.0,0
Colorado,P12,33,21,104.9,90.2,0.8513,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,65.5,1.4,R64,10.0,2013,14.62,106.5,91.9,63.7,0.029,9.15,3.8,14.6084,45.0,-2.0,0.0,Tad Boyle,0.0,1.1629711751662972,2.3999999999999986,-0.6000000000000014,0.525,1406.9599999999998,0.6363636363636364,-4.795790545596741,-0.0,133.66686,1.0,0
Colorado St.,MWC,33,24,116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,R32,8.0,2013,19.12,117.9,98.8,63.8,0.02,7.17,-0.49,19.112,22.0,2.0,0.0,Larry Eustachy,0.0,1.1849593495934958,0.6000000000000014,-0.6999999999999993,0.6408668730650156,1503.8100000000002,0.7272727272727273,4.394449154672439,0.0,137.03304,0.0,0
Columbia,Ivy,26,10,98.7,101.9,0.4071,47.6,49.3,17.8,20.1,29.0,27.0,33.7,42.4,44.5,46.5,35.4,37.3,61.7,-11.7,,,2013,,,,,,,,-3.200000000000003,150.0,,0.0,Kyle Smith,0.0,0.9685966633954858,-1.6999999999999957,2.3000000000000007,0.5178571428571429,1192.98,0.38461538461538464,,,,0.0,0
Connecticut,BE,30,20,108.7,93.9,0.8425,50.0,45.3,18.2,20.1,28.5,36.0,36.9,31.0,49.5,44.4,34.0,31.5,65.3,1.5,,,2013,14.05,109.9,95.9,63.8,0.011,7.49,0.29,14.0456,49.0,,0.0,Kevin Ollie,0.0,1.1576144834930777,4.700000000000003,1.9000000000000021,0.4418604651162791,1254.6,0.6666666666666666,,,105.201544,0.0,0
Coppin St.,MEAC,31,7,92.1,106.5,0.1582,42.6,50.1,21.0,23.3,29.0,39.2,31.2,37.1,39.6,53.4,31.2,29.6,68.7,-18.0,,,2013,,,,,,,,-14.400000000000006,150.0,,0.0,,0.0,0.8647887323943662,-7.5,2.3000000000000007,0.42521994134897356,973.4399999999999,0.22580645161290322,,,,0.0,0
Cornell,Ivy,30,12,98.3,106.6,0.2822,47.4,52.8,19.6,20.6,28.2,28.3,30.7,37.4,46.1,49.8,33.2,38.7,68.2,-11.8,,,2013,,,,,,,,-8.299999999999997,150.0,,0.0,Bill Courtney,0.0,0.9221388367729831,-5.399999999999999,1.0,0.4991150442477876,1019.24,0.4,,,,0.0,0
Creighton,MVC,36,28,116.4,95.0,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,R32,7.0,2013,21.75,118.3,96.5,63.8,-0.009,5.73,1.63,21.7536,15.0,3.0,0.0,Greg Mcdermott,0.0,1.2252631578947368,12.300000000000004,-2.799999999999997,0.5142857142857143,1415.88,0.7777777777777778,6.238324625039507,0.0,124.648128,3.0,1
